Module	Section	Sample Name	Source
FastQC	all_sections	tick_2_S2_R2_pre_trimming	/arg/1/0/tick_2_S2_R2_pre_trimming_fastqc.zip
FastQC	all_sections	tick_2_S2_R1_pre_trimming	/arg/1/0/tick_2_S2_R1_pre_trimming_fastqc.zip
FastQC	all_sections	Undetermined_S0_R2_pre_trimming	/arg/1/0/Undetermined_S0_R2_pre_trimming_fastqc.zip
FastQC	all_sections	Undetermined_S0_R1_pre_trimming	/arg/1/0/Undetermined_S0_R1_pre_trimming_fastqc.zip
FastQC	all_sections	tick_1_S1_R1_pre_trimming	/arg/1/0/tick_1_S1_R1_pre_trimming_fastqc.zip
FastQC	all_sections	tick_1_S1_R2_pre_trimming	/arg/1/0/tick_1_S1_R2_pre_trimming_fastqc.zip
FastQC	all_sections	tick_1_S1_R1_post-trimming	/arg/1/0/tick_1_S1_R1_post-trimming_fastqc.zip
FastQC	all_sections	tick_1_S1_R2_post-trimming	/arg/1/0/tick_1_S1_R2_post-trimming_fastqc.zip
FastQC	all_sections	Undetermined_S0_R1_post-trimming	/arg/1/0/Undetermined_S0_R1_post-trimming_fastqc.zip
FastQC	all_sections	Undetermined_S0_R2_post-trimming	/arg/1/0/Undetermined_S0_R2_post-trimming_fastqc.zip
BBTools	all_sections	tick_2_S2_bbduk_phix_trimmed	/arg/1/0/tick_2_S2_bbduk_phix_trimmed.stats
BBTools	all_sections	tick_1_S1_bbduk_phix_trimmed	/arg/1/0/tick_1_S1_bbduk_phix_trimmed.stats
BBTools	all_sections	Undetermined_S0_bbduk_phix_trimmed	/arg/1/0/Undetermined_S0_bbduk_phix_trimmed.stats
